bidder_id,item,value
0,station_4_6,27.02
0,station_3_6,27.01
0,station_2_6,26.97
0,station_5_6,26.94
0,station_1_6,26.92
0,station_0_6,26.89
1,station_4_11,15.0
1,station_3_11,14.98
1,station_5_11,14.98
1,station_2_14,14.94
1,station_0_8,14.92
1,station_1_11,14.91
2,station_1_19,22.87
2,station_4_22,22.86
2,station_3_22,22.85
2,station_5_22,22.85
2,station_0_22,22.85
2,station_2_19,22.84
3,station_5_2,102.19
3,station_0_2,102.13
3,station_4_3,101.98
3,station_1_3,101.96
3,station_3_2,101.96
3,station_2_3,101.91
4,station_4_7,179.52
4,station_3_7,179.47
4,station_5_7,179.37
4,station_2_7,179.35
4,station_1_7,179.26
4,station_0_7,179.23
5,station_3_13,24.55
5,station_4_13,24.55
5,station_2_12,24.53
5,station_1_13,24.43
5,station_5_13,24.39
5,station_0_15,24.34
6,station_5_17,29.56
6,station_0_17,29.5
6,station_4_17,29.48
6,station_3_17,29.46
6,station_1_17,29.43
6,station_2_17,29.42
7,station_4_9,43.75
7,station_3_21,43.73
7,station_2_21,43.66
7,station_5_21,43.59
7,station_1_9,43.59
7,station_0_16,43.53
8,station_4_0,17.97
9,station_1_12,16.2
9,station_0_12,16.15
9,station_2_12,16.13
9,station_3_12,16.12
9,station_5_12,16.11
9,station_4_12,16.11
10,station_2_17,16.37
10,station_1_22,16.33
10,station_3_22,16.33
10,station_4_22,16.31
10,station_0_16,16.22
10,station_5_22,16.21
11,station_5_5,37.49
11,station_4_10,37.48
11,station_3_10,37.46
11,station_0_5,37.4
11,station_2_5,37.4
11,station_1_5,37.36
12,station_1_1,164.28
12,station_0_1,164.23
12,station_2_1,164.22
12,station_3_1,164.2
12,station_4_1,164.19
12,station_5_1,164.18
13,station_1_9,82.9
13,station_2_15,82.88
13,station_3_15,82.8
13,station_4_15,82.76
13,station_0_15,82.67
13,station_5_13,82.62
14,station_3_21,66.74
14,station_2_21,66.74
14,station_4_21,66.72
14,station_1_17,66.67
14,station_5_18,66.61
14,station_0_21,66.6
15,station_0_1,99.12
15,station_5_1,99.05
15,station_1_1,98.8
15,station_4_1,98.71
15,station_3_1,98.69
15,station_2_1,98.65
16,station_5_1,19.51
17,station_5_15,161.1
17,station_0_15,160.9
17,station_4_15,160.82
17,station_3_15,160.76
17,station_1_15,160.66
17,station_2_15,160.64
18,station_5_23,11.03
18,station_0_23,10.96
18,station_4_23,10.95
18,station_3_23,10.94
18,station_1_23,10.92
18,station_2_23,10.91
19,station_5_1,9.69
19,station_4_1,9.66
19,station_3_1,9.65
19,station_0_1,9.65
19,station_1_1,9.62
19,station_2_1,9.62
20,station_0_6,47.16
20,station_5_6,47.1
20,station_1_6,47.06
20,station_4_4,46.99
20,station_3_4,46.99
20,station_2_6,46.99
21,station_5_8,139.98
21,station_0_8,139.95
21,station_1_12,139.83
21,station_4_8,139.82
21,station_3_12,139.81
21,station_2_8,139.78
22,station_0_20,122.77
22,station_5_20,122.63
22,station_1_20,122.53
22,station_4_21,122.36
22,station_3_21,122.36
22,station_2_20,122.36
23,station_1_18,83.98
23,station_2_9,83.92
23,station_3_9,83.84
23,station_0_9,83.82
23,station_4_9,83.81
23,station_5_9,83.73
24,station_4_3,22.06
24,station_3_7,22.04
24,station_2_3,21.99
24,station_5_3,21.97
24,station_1_7,21.95
24,station_0_7,21.92
25,station_5_12,18.51
25,station_0_12,18.48
25,station_4_12,18.37
25,station_1_12,18.36
25,station_3_12,18.35
25,station_2_12,18.32
26,station_5_17,56.12
26,station_4_19,56.08
26,station_3_19,56.06
26,station_0_19,56.05
26,station_2_17,56.01
27,station_3_3,122.15
27,station_2_3,122.14
27,station_4_3,122.13
27,station_1_3,121.97
27,station_5_3,121.83
27,station_0_3,121.77
28,station_0_3,72.33
28,station_5_3,72.24
28,station_1_5,72.15
28,station_4_5,72.08
28,station_3_2,72.08
28,station_2_5,72.06
29,station_4_10,276.26
29,station_3_10,276.25
29,station_2_10,276.19
29,station_1_10,276.08
29,station_5_10,276.07
29,station_0_10,276.0
30,station_5_17,43.73
31,station_5_19,68.16
31,station_0_19,68.05
31,station_4_19,68.03
31,station_3_19,68.0
31,station_1_19,67.96
31,station_2_19,67.95
32,station_5_5,36.67
33,station_4_9,155.71
33,station_3_9,155.7
33,station_2_10,155.65
33,station_1_9,155.5
33,station_5_10,155.48
34,station_5_19,6.14
34,station_4_16,6.11
34,station_3_18,6.1
34,station_0_19,6.08
34,station_2_19,6.06
34,station_1_19,6.06
35,station_5_17,11.33
35,station_0_5,11.3
35,station_4_5,11.2
35,station_1_23,11.2
35,station_3_17,11.19
35,station_2_17,11.16
36,station_5_1,150.64
37,station_5_10,8.88
38,station_3_19,30.57
38,station_4_19,30.57
38,station_2_19,30.56
38,station_1_23,30.47
38,station_5_19,30.43
39,station_4_21,14.69
39,station_3_21,14.67
39,station_2_21,14.63
39,station_5_21,14.63
39,station_1_21,14.61
39,station_0_21,14.59
40,station_5_6,7.64
40,station_4_7,7.64
40,station_3_2,7.62
40,station_2_7,7.56
40,station_0_7,7.56
40,station_1_6,7.53
41,station_2_9,25.07
41,station_1_9,25.05
41,station_3_14,25.03
41,station_4_12,25.02
41,station_0_14,24.96
41,station_5_9,24.95
42,station_5_18,25.27
43,station_2_11,34.01
43,station_3_11,33.95
43,station_1_11,33.93
43,station_4_11,33.93
43,station_0_11,33.78
43,station_5_11,33.77
44,station_0_7,170.87
44,station_5_7,170.85
44,station_1_7,170.58
44,station_4_7,170.53
44,station_3_7,170.5
45,station_5_10,7.31
45,station_4_8,7.27
45,station_3_13,7.25
45,station_0_10,7.24
45,station_2_13,7.21
45,station_1_8,7.19
46,station_5_20,11.07
46,station_0_20,11.04
46,station_4_20,10.92
46,station_1_20,10.92
46,station_3_21,10.91
46,station_2_21,10.88
47,station_0_20,32.6
47,station_5_20,32.6
47,station_1_1,32.44
47,station_4_10,32.42
47,station_3_10,32.4
47,station_2_10,32.37
48,station_1_1,189.77
48,station_2_7,189.68
48,station_3_2,189.64
48,station_4_7,189.62
48,station_0_1,189.59
48,station_5_7,189.54
49,station_5_11,91.92
49,station_4_11,91.92
49,station_3_11,91.89
49,station_2_11,91.81
49,station_0_10,91.8
49,station_1_10,91.77
